"Name","DisplayName","Events","Guid","FileName","MessageFile","SubstitutionFile","ResourceFile","Levels","Keywords","SendsTo"
"Microsoft-Windows-Mobile-Broadband-Experience-Api-Internal","Microsoft-Windows-Mobile-Broadband-Experience-Api-Internal","15","2aabd03b-f48b-419a-b4ce-7a14403f4a46","MbaeApi.dll","C:\Windows\system32\MbaeApi.dll","","C:\Windows\system32\MbaeApi.dll","Error, Information","","Microsoft-Windows-Mobile-Broadband-Experience-Api-Internal/Analytic"
"Microsoft-Windows-Hyper-V-Integration","Microsoft-Windows-Hyper-V-Integration","7","2b74a015-3873-4c56-9928-ea80c58b2787","vmicheartbeat.dll","C:\Windows\system32\vmicheartbeat.dll","","C:\Windows\system32\vmicheartbeat.dll","Critical, Error, Warning, Information","","Microsoft-Windows-Hyper-V-Integration-Admin, Microsoft-Windows-Hyper-V-Integration-Debug"
"Microsoft-Windows-TabletPC-Platform-Input-Ninput","Microsoft-Windows-TabletPC-Platform-Input-Ninput","52","2c3e6d9f-8298-450f-8e5d-49b724f1216f","ninput.dll","C:\Windows\system32\ninput.dll","","C:\Windows\system32\ninput.dll","Information","",""
"Microsoft-Windows-Security-EnterpriseData-FileRevocationManager","Microsoft-Windows-Security-EnterpriseData-FileRevocationManager","6","2cd58181-0bb6-463e-828a-056ff837f966","efswrt.dll","C:\Windows\system32\efswrt.dll","","C:\Windows\system32\efswrt.dll","Information","","Microsoft-Windows-Security-EnterpriseData-FileRevocationManager/Operational, Application"
"Microsoft-Windows-TZUtil","Microsoft-Windows-TZUtil","5","2d318b91-e6e7-4c46-bd04-bfe6db412cf9","tzutil.exe","C:\Windows\system32\tzutil.exe","","C:\Windows\system32\tzutil.exe","Error, Information","","Microsoft-Windows-TZUtil/Operational"
"Microsoft-Windows-OOBE-FirstLogonAnim","Microsoft-Windows-OOBE-FirstLogonAnim","10","2d4c0c5e-6704-493a-a44b-f5add4fc9283","msoobeFirstLogonAnim.dll","C:\Windows\system32\oobe\msoobeFirstLogonAnim.dll","","C:\Windows\system32\oobe\msoobeFirstLogonAnim.dll","Information","FirstLogonAnim","Microsoft-Windows-OOBE-FirstLogonAnim/Diagnostic"
"Microsoft-Windows-StartLmhosts","","1","2d7904d8-5c90-4209-ba6a-4c08f409934c","ws2_32.dll","C:\Windows\system32\ws2_32.dll","","C:\Windows\system32\drivers\afd.sys","Information","Keyword_StartLmhosts",""
"Microsoft-Windows-Mobile-Broadband-Experience-Api","Microsoft-Windows-Mobile-Broadband-Experience-Api","10","2e2bbb16-0c36-4b9b-a567-40924a199fd5","MbaeApiPublic.dll","C:\Windows\system32\MbaeApiPublic.dll","","C:\Windows\system32\MbaeApiPublic.dll","Error","","Microsoft-Windows-Mobile-Broadband-Experience-Api/Analytic"
"Microsoft-Windows-DriverFrameworks-UserMode","Microsoft-Windows-DriverFrameworks-UserMode","80","2e35aaeb-857f-4beb-a418-2e6c0e54d988","WUDFPlatform.dll","C:\Windows\system32\WUDFPlatform.dll","","C:\Windows\system32\WUDFPlatform.dll","Critical, Error, Information, Verbose","PowerTransition, StartupTrigger, Response Time, SQM","Microsoft-Windows-DriverFrameworks-UserMode/Operational, Microsoft-Windows-Kernel-Power/Diagnostic, System"
"Microsoft-Windows-WindowsToGo-StartupOptions","Microsoft-Windows-WindowsToGo-StartupOptions","3","2e6cb42e-161d-413b-a6c1-84ca4c1e5890","pwlauncher.dll","C:\Windows\System32\pwlauncher.dll","","C:\Windows\System32\pwlauncher.dll","Error, Information","","System"
"Microsoft-Windows-NDIS-PacketCapture","","18","2ed6006e-4729-4609-b423-3ee7bcd678ef","","C:\Windows\system32\drivers\ndiscap.sys","","C:\Windows\system32\drivers\ndiscap.sys","Error, Information, Verbose","Ethernet802.3, WirelessWAN, Tunnel, Native802.11, VMSwitch, PacketTruncated, PacketStart, PacketEnd, SendPath, ReceivePath, L3ConnectPath, L2ConnectPath, ClosePath, Authentication, Configuration, Global, Dropped, PiiPresent, Packet, Address, StdTemplateHint, StateTransition, Response Time","Microsoft-Windows-NDIS-PacketCapture/Diagnostic"
